clause,risk,category,reason
Full liability accepted by vendor. (variation 924),Low,Liability,Favorable to client
Termination requires 60 days notice. (variation 925),Low,Termination,Reasonable
Full liability accepted by vendor. (variation 926),Low,Liability,Favorable to client
Payment due within 30 days. (variation 927),Low,Payment,Standard terms
Data encrypted at rest. (variation 928),Low,Privacy,Secure
Client data shared with third parties. (variation 929),High,Privacy,Privacy risk
Company can terminate without notice. (variation 930),High,Termination,Unfair
Late fee of 5% per month. (variation 931),Medium,Payment,High penalty
Liability is capped at total fees paid. (variation 932),High,Liability,Limits compensation
Data encrypted at rest. (variation 933),Low,Privacy,Secure
Contract auto-renews annually. (variation 934),Medium,Termination,Lock-in risk
Company can terminate without notice. (variation 935),High,Termination,Unfair
Liability is capped at total fees paid. (variation 936),High,Liability,Limits compensation
Payment due within 30 days. (variation 937),Low,Payment,Standard terms
Vendor liable only for direct damages. (variation 938),Medium,Liability,Partial limitation
User activity tracked. (variation 939),Medium,Privacy,Tracking concern
Vendor is not liable for indirect damages. (variation 940),High,Liability,Removes accountability
Data anonymized. (variation 941),Low,Privacy,Privacy preserved
Data anonymized. (variation 942),Low,Privacy,Privacy preserved
Contract auto-renews annually. (variation 943),Medium,Termination,Lock-in risk
Client data shared with third parties. (variation 944),High,Privacy,Privacy risk
Contract auto-renews annually. (variation 945),Medium,Termination,Lock-in risk
Vendor liable only for direct damages. (variation 946),Medium,Liability,Partial limitation
Vendor liable only for direct damages. (variation 947),Medium,Liability,Partial limitation
Company may change pricing anytime. (variation 948),High,Payment,Unpredictable costs
Termination requires 60 days notice. (variation 949),Low,Termination,Reasonable
Company can terminate without notice. (variation 950),High,Termination,Unfair
User activity tracked. (variation 951),Medium,Privacy,Tracking concern
Late fee of 5% per month. (variation 952),Medium,Payment,High penalty
Contract auto-renews annually. (variation 953),Medium,Termination,Lock-in risk
Vendor liable only for direct damages. (variation 954),Medium,Liability,Partial limitation
Vendor is not liable for indirect damages. (variation 955),High,Liability,Removes accountability
Full liability accepted by vendor. (variation 956),Low,Liability,Favorable to client
Company can terminate without notice. (variation 957),High,Termination,Unfair
Termination requires 60 days notice. (variation 958),Low,Termination,Reasonable
Flexible payment options available. (variation 959),Low,Payment,User-friendly
User activity tracked. (variation 960),Medium,Privacy,Tracking concern
Company can terminate without notice. (variation 961),High,Termination,Unfair
Data encrypted at rest. (variation 962),Low,Privacy,Secure
Termination requires 60 days notice. (variation 963),Low,Termination,Reasonable
Vendor is not liable for indirect damages. (variation 964),High,Liability,Removes accountability
Company can terminate without notice. (variation 965),High,Termination,Unfair
Data anonymized. (variation 966),Low,Privacy,Privacy preserved
Vendor liable only for direct damages. (variation 967),Medium,Liability,Partial limitation
Company can terminate without notice. (variation 968),High,Termination,Unfair
Liability is capped at total fees paid. (variation 969),High,Liability,Limits compensation
Data anonymized. (variation 970),Low,Privacy,Privacy preserved
Data anonymized. (variation 971),Low,Privacy,Privacy preserved
Flexible payment options available. (variation 972),Low,Payment,User-friendly
Contract auto-renews annually. (variation 973),Medium,Termination,Lock-in risk
Flexible payment options available. (variation 974),Low,Payment,User-friendly
Flexible payment options available. (variation 975),Low,Payment,User-friendly
User activity tracked. (variation 976),Medium,Privacy,Tracking concern
Company may change pricing anytime. (variation 977),High,Payment,Unpredictable costs
Liability is capped at total fees paid. (variation 978),High,Liability,Limits compensation
Vendor liable only for direct damages. (variation 979),Medium,Liability,Partial limitation
Client data shared with third parties. (variation 980),High,Privacy,Privacy risk
Liability is capped at total fees paid. (variation 981),High,Liability,Limits compensation
Vendor liable only for direct damages. (variation 982),Medium,Liability,Partial limitation
Payment due within 30 days. (variation 983),Low,Payment,Standard terms
Data anonymized. (variation 984),Low,Privacy,Privacy preserved
Data encrypted at rest. (variation 985),Low,Privacy,Secure
Contract auto-renews annually. (variation 986),Medium,Termination,Lock-in risk
Vendor is not liable for indirect damages. (variation 987),High,Liability,Removes accountability
Termination penalty applies. (variation 988),High,Termination,Financial burden
User activity tracked. (variation 989),Medium,Privacy,Tracking concern
Contract auto-renews annually. (variation 990),Medium,Termination,Lock-in risk
Company may change pricing anytime. (variation 991),High,Payment,Unpredictable costs
Company can terminate without notice. (variation 992),High,Termination,Unfair
Payment due within 30 days. (variation 993),Low,Payment,Standard terms
Data encrypted at rest. (variation 994),Low,Privacy,Secure
Termination requires 60 days notice. (variation 995),Low,Termination,Reasonable
Late fee of 5% per month. (variation 996),Medium,Payment,High penalty
Late fee of 5% per month. (variation 997),Medium,Payment,High penalty
Payment due within 30 days. (variation 998),Low,Payment,Standard terms
Vendor liable only for direct damages. (variation 999),Medium,Liability,Partial limitation
Data anonymized. (variation 1000),Low,Privacy,Privacy preserved
Flexible payment options available. (variation 1001),Low,Payment,User-friendly
Payment due within 30 days. (variation 1002),Low,Payment,Standard terms
Client data shared with third parties. (variation 1003),High,Privacy,Privacy risk
Company may change pricing anytime. (variation 1004),High,Payment,Unpredictable costs
Client data shared with third parties. (variation 1005),High,Privacy,Privacy risk
Termination requires 60 days notice. (variation 1006),Low,Termination,Reasonable
Vendor is not liable for indirect damages. (variation 1007),High,Liability,Removes accountability
Termination penalty applies. (variation 1008),High,Termination,Financial burden
Termination penalty applies. (variation 1009),High,Termination,Financial burden
Vendor liable only for direct damages. (variation 1010),Medium,Liability,Partial limitation
Termination penalty applies. (variation 1011),High,Termination,Financial burden
Data anonymized. (variation 1012),Low,Privacy,Privacy preserved
Full liability accepted by vendor. (variation 1013),Low,Liability,Favorable to client
Company may change pricing anytime. (variation 1014),High,Payment,Unpredictable costs
Late fee of 5% per month. (variation 1015),Medium,Payment,High penalty
Liability is capped at total fees paid. (variation 1016),High,Liability,Limits compensation
Payment due within 30 days. (variation 1017),Low,Payment,Standard terms
Liability is capped at total fees paid. (variation 1018),High,Liability,Limits compensation
Data encrypted at rest. (variation 1019),Low,Privacy,Secure
Payment due within 30 days. (variation 1020),Low,Payment,Standard terms
Late fee of 5% per month. (variation 1021),Medium,Payment,High penalty
Client data shared with third parties. (variation 1022),High,Privacy,Privacy risk
Vendor liable only for direct damages. (variation 1023),Medium,Liability,Partial limitation
Flexible payment options available. (variation 1024),Low,Payment,User-friendly
Client data shared with third parties. (variation 1025),High,Privacy,Privacy risk
Company may change pricing anytime. (variation 1026),High,Payment,Unpredictable costs
Company may change pricing anytime. (variation 1027),High,Payment,Unpredictable costs
User activity tracked. (variation 1028),Medium,Privacy,Tracking concern
Payment due within 30 days. (variation 1029),Low,Payment,Standard terms
Data encrypted at rest. (variation 1030),Low,Privacy,Secure
Company can terminate without notice. (variation 1031),High,Termination,Unfair
Vendor liable only for direct damages. (variation 1032),Medium,Liability,Partial limitation
Liability is capped at total fees paid. (variation 1033),High,Liability,Limits compensation
Termination penalty applies. (variation 1034),High,Termination,Financial burden
Termination requires 60 days notice. (variation 1035),Low,Termination,Reasonable
Payment due within 30 days. (variation 1036),Low,Payment,Standard terms
User activity tracked. (variation 1037),Medium,Privacy,Tracking concern
Data encrypted at rest. (variation 1038),Low,Privacy,Secure
Contract auto-renews annually. (variation 1039),Medium,Termination,Lock-in risk
Late fee of 5% per month. (variation 1040),Medium,Payment,High penalty
Contract auto-renews annually. (variation 1041),Medium,Termination,Lock-in risk
Vendor liable only for direct damages. (variation 1042),Medium,Liability,Partial limitation
Liability is capped at total fees paid. (variation 1043),High,Liability,Limits compensation
Data anonymized. (variation 1044),Low,Privacy,Privacy preserved
Payment due within 30 days. (variation 1045),Low,Payment,Standard terms
Flexible payment options available. (variation 1046),Low,Payment,User-friendly
Data anonymized. (variation 1047),Low,Privacy,Privacy preserved
Client data shared with third parties. (variation 1048),High,Privacy,Privacy risk
Company may change pricing anytime. (variation 1049),High,Payment,Unpredictable costs
Flexible payment options available. (variation 1050),Low,Payment,User-friendly
Contract auto-renews annually. (variation 1051),Medium,Termination,Lock-in risk
Termination penalty applies. (variation 1052),High,Termination,Financial burden
Client data shared with third parties. (variation 1053),High,Privacy,Privacy risk
Termination requires 60 days notice. (variation 1054),Low,Termination,Reasonable
Late fee of 5% per month. (variation 1055),Medium,Payment,High penalty
Termination penalty applies. (variation 1056),High,Termination,Financial burden
Termination penalty applies. (variation 1057),High,Termination,Financial burden
Data encrypted at rest. (variation 1058),Low,Privacy,Secure
Client data shared with third parties. (variation 1059),High,Privacy,Privacy risk
Payment due within 30 days. (variation 1060),Low,Payment,Standard terms
Company can terminate without notice. (variation 1061),High,Termination,Unfair
Data encrypted at rest. (variation 1062),Low,Privacy,Secure
Termination penalty applies. (variation 1063),High,Termination,Financial burden
Client data shared with third parties. (variation 1064),High,Privacy,Privacy risk
Full liability accepted by vendor. (variation 1065),Low,Liability,Favorable to client
User activity tracked. (variation 1066),Medium,Privacy,Tracking concern
Flexible payment options available. (variation 1067),Low,Payment,User-friendly
Client data shared with third parties. (variation 1068),High,Privacy,Privacy risk
Flexible payment options available. (variation 1069),Low,Payment,User-friendly
Client data shared with third parties. (variation 1070),High,Privacy,Privacy risk
Termination requires 60 days notice. (variation 1071),Low,Termination,Reasonable
Termination requires 60 days notice. (variation 1072),Low,Termination,Reasonable
Vendor liable only for direct damages. (variation 1073),Medium,Liability,Partial limitation
Company can terminate without notice. (variation 1074),High,Termination,Unfair
Company may change pricing anytime. (variation 1075),High,Payment,Unpredictable costs
Contract auto-renews annually. (variation 1076),Medium,Termination,Lock-in risk
Vendor liable only for direct damages. (variation 1077),Medium,Liability,Partial limitation
Company may change pricing anytime. (variation 1078),High,Payment,Unpredictable costs
Vendor liable only for direct damages. (variation 1079),Medium,Liability,Partial limitation
Termination penalty applies. (variation 1080),High,Termination,Financial burden
Vendor is not liable for indirect damages. (variation 1081),High,Liability,Removes accountability
Contract auto-renews annually. (variation 1082),Medium,Termination,Lock-in risk
Company can terminate without notice. (variation 1083),High,Termination,Unfair
Liability is capped at total fees paid. (variation 1084),High,Liability,Limits compensation
Termination penalty applies. (variation 1085),High,Termination,Financial burden
Contract auto-renews annually. (variation 1086),Medium,Termination,Lock-in risk
Payment due within 30 days. (variation 1087),Low,Payment,Standard terms
Data encrypted at rest. (variation 1088),Low,Privacy,Secure
Vendor liable only for direct damages. (variation 1089),Medium,Liability,Partial limitation
Late fee of 5% per month. (variation 1090),Medium,Payment,High penalty
Liability is capped at total fees paid. (variation 1091),High,Liability,Limits compensation
Termination requires 60 days notice. (variation 1092),Low,Termination,Reasonable
Flexible payment options available. (variation 1093),Low,Payment,User-friendly
Payment due within 30 days. (variation 1094),Low,Payment,Standard terms
Company may change pricing anytime. (variation 1095),High,Payment,Unpredictable costs
Client data shared with third parties. (variation 1096),High,Privacy,Privacy risk
Company may change pricing anytime. (variation 1097),High,Payment,Unpredictable costs
Termination penalty applies. (variation 1098),High,Termination,Financial burden
Vendor liable only for direct damages. (variation 1099),Medium,Liability,Partial limitation
Flexible payment options available. (variation 1100),Low,Payment,User-friendly
Company may change pricing anytime. (variation 1101),High,Payment,Unpredictable costs
Flexible payment options available. (variation 1102),Low,Payment,User-friendly
Contract auto-renews annually. (variation 1103),Medium,Termination,Lock-in risk
Termination penalty applies. (variation 1104),High,Termination,Financial burden
Liability is capped at total fees paid. (variation 1105),High,Liability,Limits compensation
Termination penalty applies. (variation 1106),High,Termination,Financial burden
Late fee of 5% per month. (variation 1107),Medium,Payment,High penalty
Flexible payment options available. (variation 1108),Low,Payment,User-friendly
Company may change pricing anytime. (variation 1109),High,Payment,Unpredictable costs
Termination requires 60 days notice. (variation 1110),Low,Termination,Reasonable
Client data shared with third parties. (variation 1111),High,Privacy,Privacy risk
Liability is capped at total fees paid. (variation 1112),High,Liability,Limits compensation
Termination requires 60 days notice. (variation 1113),Low,Termination,Reasonable
Termination penalty applies. (variation 1114),High,Termination,Financial burden
Liability is capped at total fees paid. (variation 1115),High,Liability,Limits compensation
Vendor is not liable for indirect damages. (variation 1116),High,Liability,Removes accountability
Payment due within 30 days. (variation 1117),Low,Payment,Standard terms
Liability is capped at total fees paid. (variation 1118),High,Liability,Limits compensation
Company can terminate without notice. (variation 1119),High,Termination,Unfair
Company can terminate without notice. (variation 1120),High,Termination,Unfair
Company can terminate without notice. (variation 1121),High,Termination,Unfair
Late fee of 5% per month. (variation 1122),Medium,Payment,High penalty
Contract auto-renews annually. (variation 1123),Medium,Termination,Lock-in risk
Termination penalty applies. (variation 1124),High,Termination,Financial burden
Client data shared with third parties. (variation 1125),High,Privacy,Privacy risk
Termination requires 60 days notice. (variation 1126),Low,Termination,Reasonable
Data anonymized. (variation 1127),Low,Privacy,Privacy preserved
Vendor liable only for direct damages. (variation 1128),Medium,Liability,Partial limitation
Full liability accepted by vendor. (variation 1129),Low,Liability,Favorable to client
Termination penalty applies. (variation 1130),High,Termination,Financial burden
Data encrypted at rest. (variation 1131),Low,Privacy,Secure
User activity tracked. (variation 1132),Medium,Privacy,Tracking concern
Termination requires 60 days notice. (variation 1133),Low,Termination,Reasonable
Vendor is not liable for indirect damages. (variation 1134),High,Liability,Removes accountability
User activity tracked. (variation 1135),Medium,Privacy,Tracking concern
User activity tracked. (variation 1136),Medium,Privacy,Tracking concern
Contract auto-renews annually. (variation 1137),Medium,Termination,Lock-in risk
Vendor is not liable for indirect damages. (variation 1138),High,Liability,Removes accountability
Company may change pricing anytime. (variation 1139),High,Payment,Unpredictable costs
Termination penalty applies. (variation 1140),High,Termination,Financial burden
Data anonymized. (variation 1141),Low,Privacy,Privacy preserved
Vendor is not liable for indirect damages. (variation 1142),High,Liability,Removes accountability
Payment due within 30 days. (variation 1143),Low,Payment,Standard terms
Client data shared with third parties. (variation 1144),High,Privacy,Privacy risk
Vendor liable only for direct damages. (variation 1145),Medium,Liability,Partial limitation
Contract auto-renews annually. (variation 1146),Medium,Termination,Lock-in risk
Data anonymized. (variation 1147),Low,Privacy,Privacy preserved
Termination requires 60 days notice. (variation 1148),Low,Termination,Reasonable
Company can terminate without notice. (variation 1149),High,Termination,Unfair
Payment due within 30 days. (variation 1150),Low,Payment,Standard terms
Data anonymized. (variation 1151),Low,Privacy,Privacy preserved
Company may change pricing anytime. (variation 1152),High,Payment,Unpredictable costs
User activity tracked. (variation 1153),Medium,Privacy,Tracking concern
Data anonymized. (variation 1154),Low,Privacy,Privacy preserved
Contract auto-renews annually. (variation 1155),Medium,Termination,Lock-in risk
Vendor is not liable for indirect damages. (variation 1156),High,Liability,Removes accountability
Payment due within 30 days. (variation 1157),Low,Payment,Standard terms
Liability is capped at total fees paid. (variation 1158),High,Liability,Limits compensation
Company can terminate without notice. (variation 1159),High,Termination,Unfair
Data anonymized. (variation 1160),Low,Privacy,Privacy preserved
Contract auto-renews annually. (variation 1161),Medium,Termination,Lock-in risk
Full liability accepted by vendor. (variation 1162),Low,Liability,Favorable to client
Data encrypted at rest. (variation 1163),Low,Privacy,Secure
Contract auto-renews annually. (variation 1164),Medium,Termination,Lock-in risk
Company may change pricing anytime. (variation 1165),High,Payment,Unpredictable costs
Termination requires 60 days notice. (variation 1166),Low,Termination,Reasonable
Termination penalty applies. (variation 1167),High,Termination,Financial burden
Late fee of 5% per month. (variation 1168),Medium,Payment,High penalty
Late fee of 5% per month. (variation 1169),Medium,Payment,High penalty
Liability is capped at total fees paid. (variation 1170),High,Liability,Limits compensation
Late fee of 5% per month. (variation 1171),Medium,Payment,High penalty
Company can terminate without notice. (variation 1172),High,Termination,Unfair
Data encrypted at rest. (variation 1173),Low,Privacy,Secure
Payment due within 30 days. (variation 1174),Low,Payment,Standard terms
Termination requires 60 days notice. (variation 1175),Low,Termination,Reasonable
Termination requires 60 days notice. (variation 1176),Low,Termination,Reasonable
Contract auto-renews annually. (variation 1177),Medium,Termination,Lock-in risk
Company can terminate without notice. (variation 1178),High,Termination,Unfair
Vendor is not liable for indirect damages. (variation 1179),High,Liability,Removes accountability
Liability is capped at total fees paid. (variation 1180),High,Liability,Limits compensation
Termination penalty applies. (variation 1181),High,Termination,Financial burden
Termination requires 60 days notice. (variation 1182),Low,Termination,Reasonable
User activity tracked. (variation 1183),Medium,Privacy,Tracking concern
Liability is capped at total fees paid. (variation 1184),High,Liability,Limits compensation
Late fee of 5% per month. (variation 1185),Medium,Payment,High penalty
Termination requires 60 days notice. (variation 1186),Low,Termination,Reasonable
Company can terminate without notice. (variation 1187),High,Termination,Unfair
Payment due within 30 days. (variation 1188),Low,Payment,Standard terms
Termination requires 60 days notice. (variation 1189),Low,Termination,Reasonable
Full liability accepted by vendor. (variation 1190),Low,Liability,Favorable to client
Termination requires 60 days notice. (variation 1191),Low,Termination,Reasonable
Full liability accepted by vendor. (variation 1192),Low,Liability,Favorable to client
Company can terminate without notice. (variation 1193),High,Termination,Unfair
Liability is capped at total fees paid. (variation 1194),High,Liability,Limits compensation
Flexible payment options available. (variation 1195),Low,Payment,User-friendly
Late fee of 5% per month. (variation 1196),Medium,Payment,High penalty
Late fee of 5% per month. (variation 1197),Medium,Payment,High penalty
Contract auto-renews annually. (variation 1198),Medium,Termination,Lock-in risk
Company can terminate without notice. (variation 1199),High,Termination,Unfair
Flexible payment options available. (variation 1200),Low,Payment,User-friendly
Full liability accepted by vendor. (variation 1201),Low,Liability,Favorable to client
Flexible payment options available. (variation 1202),Low,Payment,User-friendly
Data anonymized. (variation 1203),Low,Privacy,Privacy preserved
Liability is capped at total fees paid. (variation 1204),High,Liability,Limits compensation
Payment due within 30 days. (variation 1205),Low,Payment,Standard terms
Data anonymized. (variation 1206),Low,Privacy,Privacy preserved
Vendor liable only for direct damages. (variation 1207),Medium,Liability,Partial limitation
Company can terminate without notice. (variation 1208),High,Termination,Unfair
Data encrypted at rest. (variation 1209),Low,Privacy,Secure
Liability is capped at total fees paid. (variation 1210),High,Liability,Limits compensation
Vendor liable only for direct damages. (variation 1211),Medium,Liability,Partial limitation
Payment due within 30 days. (variation 1212),Low,Payment,Standard terms
Full liability accepted by vendor. (variation 1213),Low,Liability,Favorable to client
Vendor liable only for direct damages. (variation 1214),Medium,Liability,Partial limitation
Company may change pricing anytime. (variation 1215),High,Payment,Unpredictable costs
Vendor is not liable for indirect damages. (variation 1216),High,Liability,Removes accountability
User activity tracked. (variation 1217),Medium,Privacy,Tracking concern
Company may change pricing anytime. (variation 1218),High,Payment,Unpredictable costs
Company can terminate without notice. (variation 1219),High,Termination,Unfair
Contract auto-renews annually. (variation 1220),Medium,Termination,Lock-in risk
Payment due within 30 days. (variation 1221),Low,Payment,Standard terms
Liability is capped at total fees paid. (variation 1222),High,Liability,Limits compensation
Termination penalty applies. (variation 1223),High,Termination,Financial burden
Late fee of 5% per month. (variation 1224),Medium,Payment,High penalty
Late fee of 5% per month. (variation 1225),Medium,Payment,High penalty
Data encrypted at rest. (variation 1226),Low,Privacy,Secure
Data anonymized. (variation 1227),Low,Privacy,Privacy preserved
Full liability accepted by vendor. (variation 1228),Low,Liability,Favorable to client
Flexible payment options available. (variation 1229),Low,Payment,User-friendly
Full liability accepted by vendor. (variation 1230),Low,Liability,Favorable to client
Termination requires 60 days notice. (variation 1231),Low,Termination,Reasonable
Flexible payment options available. (variation 1232),Low,Payment,User-friendly
Data anonymized. (variation 1233),Low,Privacy,Privacy preserved
Late fee of 5% per month. (variation 1234),Medium,Payment,High penalty
Payment due within 30 days. (variation 1235),Low,Payment,Standard terms
Flexible payment options available. (variation 1236),Low,Payment,User-friendly
Termination requires 60 days notice. (variation 1237),Low,Termination,Reasonable
Company can terminate without notice. (variation 1238),High,Termination,Unfair
Vendor is not liable for indirect damages. (variation 1239),High,Liability,Removes accountability
Data encrypted at rest. (variation 1240),Low,Privacy,Secure
Payment due within 30 days. (variation 1241),Low,Payment,Standard terms
Payment due within 30 days. (variation 1242),Low,Payment,Standard terms
Termination requires 60 days notice. (variation 1243),Low,Termination,Reasonable
Contract auto-renews annually. (variation 1244),Medium,Termination,Lock-in risk
Payment due within 30 days. (variation 1245),Low,Payment,Standard terms
Client data shared with third parties. (variation 1246),High,Privacy,Privacy risk
Full liability accepted by vendor. (variation 1247),Low,Liability,Favorable to client
Termination requires 60 days notice. (variation 1248),Low,Termination,Reasonable
Data encrypted at rest. (variation 1249),Low,Privacy,Secure
Vendor liable only for direct damages. (variation 1250),Medium,Liability,Partial limitation
Termination requires 60 days notice. (variation 1251),Low,Termination,Reasonable
Termination penalty applies. (variation 1252),High,Termination,Financial burden
Vendor liable only for direct damages. (variation 1253),Medium,Liability,Partial limitation
Data encrypted at rest. (variation 1254),Low,Privacy,Secure
Liability is capped at total fees paid. (variation 1255),High,Liability,Limits compensation
Company can terminate without notice. (variation 1256),High,Termination,Unfair
User activity tracked. (variation 1257),Medium,Privacy,Tracking concern
Vendor liable only for direct damages. (variation 1258),Medium,Liability,Partial limitation
Full liability accepted by vendor. (variation 1259),Low,Liability,Favorable to client
Payment due within 30 days. (variation 1260),Low,Payment,Standard terms
Client data shared with third parties. (variation 1261),High,Privacy,Privacy risk
Late fee of 5% per month. (variation 1262),Medium,Payment,High penalty
Client data shared with third parties. (variation 1263),High,Privacy,Privacy risk
Termination penalty applies. (variation 1264),High,Termination,Financial burden
Liability is capped at total fees paid. (variation 1265),High,Liability,Limits compensation
Termination requires 60 days notice. (variation 1266),Low,Termination,Reasonable
Company may change pricing anytime. (variation 1267),High,Payment,Unpredictable costs
Vendor liable only for direct damages. (variation 1268),Medium,Liability,Partial limitation
Data anonymized. (variation 1269),Low,Privacy,Privacy preserved
Full liability accepted by vendor. (variation 1270),Low,Liability,Favorable to client
Contract auto-renews annually. (variation 1271),Medium,Termination,Lock-in risk
Payment due within 30 days. (variation 1272),Low,Payment,Standard terms
Data anonymized. (variation 1273),Low,Privacy,Privacy preserved
Liability is capped at total fees paid. (variation 1274),High,Liability,Limits compensation
Contract auto-renews annually. (variation 1275),Medium,Termination,Lock-in risk
Contract auto-renews annually. (variation 1276),Medium,Termination,Lock-in risk
Data anonymized. (variation 1277),Low,Privacy,Privacy preserved
Client data shared with third parties. (variation 1278),High,Privacy,Privacy risk
Late fee of 5% per month. (variation 1279),Medium,Payment,High penalty
Flexible payment options available. (variation 1280),Low,Payment,User-friendly
Client data shared with third parties. (variation 1281),High,Privacy,Privacy risk
Late fee of 5% per month. (variation 1282),Medium,Payment,High penalty
Client data shared with third parties. (variation 1283),High,Privacy,Privacy risk
Contract auto-renews annually. (variation 1284),Medium,Termination,Lock-in risk
Payment due within 30 days. (variation 1285),Low,Payment,Standard terms
Payment due within 30 days. (variation 1286),Low,Payment,Standard terms
Termination penalty applies. (variation 1287),High,Termination,Financial burden
Vendor is not liable for indirect damages. (variation 1288),High,Liability,Removes accountability
Payment due within 30 days. (variation 1289),Low,Payment,Standard terms
User activity tracked. (variation 1290),Medium,Privacy,Tracking concern
Vendor is not liable for indirect damages. (variation 1291),High,Liability,Removes accountability
Termination penalty applies. (variation 1292),High,Termination,Financial burden
Termination requires 60 days notice. (variation 1293),Low,Termination,Reasonable
Termination requires 60 days notice. (variation 1294),Low,Termination,Reasonable
Data encrypted at rest. (variation 1295),Low,Privacy,Secure
Contract auto-renews annually. (variation 1296),Medium,Termination,Lock-in risk
Vendor is not liable for indirect damages. (variation 1297),High,Liability,Removes accountability
Data encrypted at rest. (variation 1298),Low,Privacy,Secure
Contract auto-renews annually. (variation 1299),Medium,Termination,Lock-in risk
Client data shared with third parties. (variation 1300),High,Privacy,Privacy risk
Flexible payment options available. (variation 1301),Low,Payment,User-friendly
Company may change pricing anytime. (variation 1302),High,Payment,Unpredictable costs
Vendor is not liable for indirect damages. (variation 1303),High,Liability,Removes accountability
Vendor is not liable for indirect damages. (variation 1304),High,Liability,Removes accountability
Company may change pricing anytime. (variation 1305),High,Payment,Unpredictable costs
Company may change pricing anytime. (variation 1306),High,Payment,Unpredictable costs
Termination penalty applies. (variation 1307),High,Termination,Financial burden
Company can terminate without notice. (variation 1308),High,Termination,Unfair
Late fee of 5% per month. (variation 1309),Medium,Payment,High penalty
Termination penalty applies. (variation 1310),High,Termination,Financial burden
Liability is capped at total fees paid. (variation 1311),High,Liability,Limits compensation
Vendor liable only for direct damages. (variation 1312),Medium,Liability,Partial limitation
Full liability accepted by vendor. (variation 1313),Low,Liability,Favorable to client
Company can terminate without notice. (variation 1314),High,Termination,Unfair
Data encrypted at rest. (variation 1315),Low,Privacy,Secure
Company can terminate without notice. (variation 1316),High,Termination,Unfair
Vendor liable only for direct damages. (variation 1317),Medium,Liability,Partial limitation
Company can terminate without notice. (variation 1318),High,Termination,Unfair
Company can terminate without notice. (variation 1319),High,Termination,Unfair
Late fee of 5% per month. (variation 1320),Medium,Payment,High penalty
Vendor is not liable for indirect damages. (variation 1321),High,Liability,Removes accountability
Late fee of 5% per month. (variation 1322),Medium,Payment,High penalty
Full liability accepted by vendor. (variation 1323),Low,Liability,Favorable to client
Client data shared with third parties. (variation 1324),High,Privacy,Privacy risk
Vendor liable only for direct damages. (variation 1325),Medium,Liability,Partial limitation
Payment due within 30 days. (variation 1326),Low,Payment,Standard terms
Data encrypted at rest. (variation 1327),Low,Privacy,Secure
Company can terminate without notice. (variation 1328),High,Termination,Unfair
Payment due within 30 days. (variation 1329),Low,Payment,Standard terms
Termination penalty applies. (variation 1330),High,Termination,Financial burden
Data anonymized. (variation 1331),Low,Privacy,Privacy preserved
Payment due within 30 days. (variation 1332),Low,Payment,Standard terms
User activity tracked. (variation 1333),Medium,Privacy,Tracking concern
Full liability accepted by vendor. (variation 1334),Low,Liability,Favorable to client
Vendor liable only for direct damages. (variation 1335),Medium,Liability,Partial limitation
Data encrypted at rest. (variation 1336),Low,Privacy,Secure
Contract auto-renews annually. (variation 1337),Medium,Termination,Lock-in risk
Client data shared with third parties. (variation 1338),High,Privacy,Privacy risk
Company may change pricing anytime. (variation 1339),High,Payment,Unpredictable costs
Termination requires 60 days notice. (variation 1340),Low,Termination,Reasonable
Company may change pricing anytime. (variation 1341),High,Payment,Unpredictable costs
Payment due within 30 days. (variation 1342),Low,Payment,Standard terms
Liability is capped at total fees paid. (variation 1343),High,Liability,Limits compensation
Company can terminate without notice. (variation 1344),High,Termination,Unfair
Client data shared with third parties. (variation 1345),High,Privacy,Privacy risk
Vendor liable only for direct damages. (variation 1346),Medium,Liability,Partial limitation
Vendor is not liable for indirect damages. (variation 1347),High,Liability,Removes accountability
User activity tracked. (variation 1348),Medium,Privacy,Tracking concern
Payment due within 30 days. (variation 1349),Low,Payment,Standard terms
Company can terminate without notice. (variation 1350),High,Termination,Unfair
User activity tracked. (variation 1351),Medium,Privacy,Tracking concern
Vendor is not liable for indirect damages. (variation 1352),High,Liability,Removes accountability
User activity tracked. (variation 1353),Medium,Privacy,Tracking concern
Full liability accepted by vendor. (variation 1354),Low,Liability,Favorable to client
User activity tracked. (variation 1355),Medium,Privacy,Tracking concern
Flexible payment options available. (variation 1356),Low,Payment,User-friendly
Termination penalty applies. (variation 1357),High,Termination,Financial burden
Company can terminate without notice. (variation 1358),High,Termination,Unfair
Liability is capped at total fees paid. (variation 1359),High,Liability,Limits compensation
Vendor is not liable for indirect damages. (variation 1360),High,Liability,Removes accountability
Data encrypted at rest. (variation 1361),Low,Privacy,Secure
Termination penalty applies. (variation 1362),High,Termination,Financial burden
Data encrypted at rest. (variation 1363),Low,Privacy,Secure
Vendor liable only for direct damages. (variation 1364),Medium,Liability,Partial limitation
Contract auto-renews annually. (variation 1365),Medium,Termination,Lock-in risk
Contract auto-renews annually. (variation 1366),Medium,Termination,Lock-in risk
User activity tracked. (variation 1367),Medium,Privacy,Tracking concern
Termination requires 60 days notice. (variation 1368),Low,Termination,Reasonable
Late fee of 5% per month. (variation 1369),Medium,Payment,High penalty
Payment due within 30 days. (variation 1370),Low,Payment,Standard terms
Liability is capped at total fees paid. (variation 1371),High,Liability,Limits compensation
User activity tracked. (variation 1372),Medium,Privacy,Tracking concern
